x,y
-19.83479834798348,-393.4192255051682
-19.83439834398344,-393.40335766781305
-19.8339983399834,-393.3874901504642
-19.83359833598336,-393.3716229531219
-19.83319833198332,-393.3557560757859
-19.83279832798328,-393.3398895184564
-19.83239832398324,-393.3240232811333
-19.8319983199832,-393.30815736381646
-19.83159831598316,-393.29229176650614
-19.83119831198312,-393.2764264892021
-19.83079830798308,-393.2605615319046
-19.83039830398304,-393.24469689461336
-19.829998299983,-393.22883257732866
-19.82959829598296,-393.21296858005036
-19.82919829198292,-393.19710490277834
-19.82879828798288,-393.1812415455128
-19.82839828398284,-393.1653785082536
-19.8279982799828,-393.1495157910009
-19.82759827598276,-393.13365339375446
-19.82719827198272,-393.11779131651457
-19.82679826798268,-393.1019295592811
-19.82639826398264,-393.0860681220538
-19.8259982599826,-393.07020700483315
-19.82559825598256,-393.05434620761866
-19.82519825198252,-393.0384857304108
-19.82479824798248,-393.02262557320915
-19.82439824398244,-393.0067657360141
-19.8239982399824,-392.99090621882533
-19.82359823598236,-392.9750470216429
-19.82319823198232,-392.959188144467
-19.82279822798228,-392.9433295872974
-19.82239822398224,-392.9274713501343
-19.8219982199822,-392.91161343297745
-19.82159821598216,-392.8957558358272
-19.82119821198212,-392.87989855868324
-19.82079820798208,-392.86404160154564
-19.82039820398204,-392.84818496441454
-19.819998199982,-392.83232864728967
-19.81959819598196,-392.81647265017136
-19.81919819198192,-392.80061697305933
-19.81879818798188,-392.78476161595387
-19.81839818398184,-392.76890657885474
-19.8179981799818,-392.7530518617619
-19.81759817598176,-392.7371974646756
-19.81719817198172,-392.7213433875956
-19.81679816798168,-392.7054896305221
-19.81639816398164,-392.6896361934549
-19.8159981599816,-392.67378307639416
-19.81559815598156,-392.65793027933984
-19.81519815198152,-392.64207780229185
-19.81479814798148,-392.6262256452503
-19.81439814398144,-392.6103738082151
-19.8139981399814,-392.5945222911864
-19.81359813598136,-392.57867109416395
-19.81319813198132,-392.56282021714804
-19.81279812798128,-392.5469696601386
-19.81239812398124,-392.53111942313535
-19.8119981199812,-392.5152695061386
-19.81159811598116,-392.49941990914823
-19.81119811198112,-392.4835706321643
-19.81079810798108,-392.4677216751867
-19.81039810398104,-392.4518730382156
